dataset,stem,subset,is_viral
foldbench100,5sbj_A,legacy_554,
cameo_hard,8xtn_A,legacy_554,
cameo_hard,9j5h_A,legacy_554,
foldbench100,7t9r_A,legacy_554,
cameo_hard,8jvx_B,legacy_554,
denovo_pdb,7sq4_A,legacy_554,
denovo_pdb,3v1a_A,legacy_554,
denovo_pdb,8bcs_A,legacy_554,
denovo_pdb,6nla_A,legacy_554,
denovo_pdb,4oza_A,legacy_554,
denovo_pdb,4ozc_A,legacy_554,
denovo_pdb,8qaf_A,legacy_554,
foldbench100,7yhr_A,legacy_554,
denovo_pdb,8d05_A,legacy_554,
denovo_pdb,7kuw_A,legacy_554,
cameo_hard,8raj_A,legacy_554,
denovo_pdb,2p05_A,legacy_554,
denovo_pdb,7ur7_A,legacy_554,
denovo_pdb,9lns_A,legacy_554,
foldbench100,7xi5_A,legacy_554,
denovo_pdb,8d03_A,legacy_554,
foldbench100,8b6e_A,legacy_554,
denovo_pdb,1uw1_A,legacy_554,
denovo_pdb,2avp_A,legacy_554,
denovo_pdb,6mrr_A,legacy_554,
denovo_pdb,9v4l_A,legacy_554,
denovo_pdb,2p09_A,legacy_554,
denovo_pdb,3dgl_A,legacy_554,
denovo_pdb,3dgm_A,legacy_554,
denovo_pdb,3dgn_A,legacy_554,
denovo_pdb,3dgo_A,legacy_554,
denovo_pdb,3lt8_A,legacy_554,
denovo_pdb,3lt9_A,legacy_554,
denovo_pdb,3lta_A,legacy_554,
denovo_pdb,3ltb_A,legacy_554,
denovo_pdb,3ltc_A,legacy_554,
denovo_pdb,3ltd_A,legacy_554,
foldbench100,7ur7_A,legacy_554,
denovo_pdb,7ur8_A,legacy_554,
cameo_hard,9eqn_A,legacy_554,
denovo_pdb,5j0i_A,legacy_554,
foldbench100,8b2g_A,legacy_554,
denovo_pdb,6naf_A,legacy_554,
denovo_pdb,6n9h_A,legacy_554,
casp_fm,T1038-D2,legacy_554,
denovo_pdb,6mrs_A,legacy_554,
denovo_pdb,4n6t_A,legacy_554,
denovo_pdb,4n6u_A,legacy_554,
denovo_pdb,4wsp_A,legacy_554,
denovo_pdb,9dea_A,legacy_554,
cameo_hard,8yoz_A,legacy_554,
foldbench100,7pv5_A,legacy_554,
cameo_hard,9de9_B,legacy_554,
denovo_pdb,8kc1_A,legacy_554,
cameo_hard,9deb_E,legacy_554,
foldbench100,7xp9_A,legacy_554,
denovo_pdb,5f53_A,legacy_554,
denovo_pdb,4pww_A,legacy_554,
denovo_pdb,7tjl_A,legacy_554,
denovo_pdb,6nek_A,legacy_554,
denovo_pdb,6ypi_A,legacy_554,
denovo_pdb,2zgg_A,legacy_554,
denovo_pdb,4wpy_A,legacy_554,
denovo_pdb,9x1w_A,legacy_554,
denovo_pdb,7vty_A,legacy_554,
denovo_pdb,9x1x_A,legacy_554,
denovo_pdb,2xen_A,legacy_554,
denovo_pdb,1qys_A,legacy_554,
denovo_pdb,6ds9_A,legacy_554,
denovo_pdb,7dgw_A,legacy_554,
denovo_pdb,5od1_A,legacy_554,
foldbench100,8eb9_A,legacy_554,
denovo_pdb,6qb2_A,legacy_554,
casp_fm,T1031-D1,legacy_554,
foldbench100,7y8i_A,legacy_554,
denovo_pdb,2zgd_A,legacy_554,
denovo_pdb,4lpx_A,legacy_554,
denovo_pdb,6jcc_A,legacy_554,
denovo_pdb,7dgu_A,legacy_554,
denovo_pdb,3teu_A,legacy_554,
denovo_pdb,7dgy_A,legacy_554,
foldbench100,7y54_A,legacy_554,
foldbench100,7y8h_A,legacy_554,
denovo_pdb,4u3h_A,legacy_554,
denovo_pdb,9r0z_A,legacy_554,
casp_fm,T1033-D1,legacy_554,
foldbench100,7y5j_A,legacy_554,
denovo_pdb,9bk7_A,legacy_554,
casp_fm,T1035-D1,legacy_554,
denovo_pdb,2wqh_A,legacy_554,
denovo_pdb,7ah0_A,legacy_554,
denovo_pdb,8fjg_A,legacy_554,
foldbench100,7y5r_A,legacy_554,
foldbench100,7ykm_A,legacy_554,
denovo_pdb,8xyw_A,legacy_554,
denovo_pdb,9r17_A,legacy_554,
denovo_pdb,4oxw_A,legacy_554,
denovo_pdb,5l33_A,legacy_554,
denovo_pdb,9dbu_A,legacy_554,
denovo_pdb,9de4_A,legacy_554,
denovo_pdb,9h4c_A,legacy_554,
denovo_pdb,6w3w_A,legacy_554,
denovo_pdb,8sjf_A,legacy_554,
denovo_pdb,9db8_A,legacy_554,
denovo_pdb,9db9_A,legacy_554,
denovo_pdb,9dba_A,legacy_554,
denovo_pdb,9dbb_A,legacy_554,
denovo_pdb,9dbv_A,legacy_554,
denovo_pdb,9dbw_A,legacy_554,
cameo_hard,9had_C,legacy_554,
denovo_pdb,9dbc_A,legacy_554,
denovo_pdb,9cte_A,legacy_554,
casp_fm,T1120-D2,legacy_554,
denovo_pdb,9hag_A,legacy_554,
cameo_hard,8wwc_C,legacy_554,
denovo_pdb,8qup_A,legacy_554,
denovo_pdb,9ded_A,legacy_554,
casp_fm,T1038-D1,legacy_554,
denovo_pdb,7vql_A,legacy_554,
denovo_pdb,7vqv_A,legacy_554,
denovo_pdb,8ah9_A,legacy_554,
denovo_pdb,8ka7_A,legacy_554,
